Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20231001,18288,S08000017,S37000006,All,3794,172,398,445,922,1178,389,215,75,1,1867,1927
20231001,18305,S08000017,S37000006,Male,4677,224,475,491,1198,1287,516,364,122,0,,
20231001,18305,S08000017,S37000006,Female,4786,205,426,457,1152,1365,553,450,178,0,,
20231001,18305,S08000017,S37000006,All,9463,429,901,948,2350,2652,1069,814,300,1,4786,4677
20231001,18310,S08000017,S37000006,Male,6655,326,704,684,1786,1767,758,474,156,0,,
20231001,18310,S08000017,S37000006,Female,7062,303,774,658,1834,1863,823,588,219,0,,
20231001,18310,S08000017,S37000006,All,13717,629,1478,1342,3620,3630,1581,1062,375,1,7062,6655
20231001,18339,S08000017,S37000006,Male,1870,67,193,198,327,593,284,161,47,0,,
20231001,18339,S08000017,S37000006,Female,1994,79,184,168,407,579,283,214,80,0,,
20231001,18339,S08000017,S37000006,All,3864,146,377,366,734,1172,567,375,127,1,1994,1870
20231001,18343,S08000017,S37000006,Male,1935,54,183,162,415,576,301,201,43,0,,
20231001,18343,S08000017,S37000006,Female,1967,52,173,145,365,627,314,215,76,0,,
20231001,18343,S08000017,S37000006,All,3902,106,356,307,780,1203,615,416,119,1,1967,1935
20231001,18377,S08000017,S37000006,Male,2934,110,278,292,561,828,440,330,95,0,,
20231001,18377,S08000017,S37000006,Female,3027,102,242,241,590,892,472,351,137,0,,
