Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,18273,S08000017,S37000006,All,6624,224,723,668,1520,2007,779,528,175,1,3382,3242
20220401,18288,S08000017,S37000006,Male,1912,89,218,222,461,609,194,90,29,,,
20220401,18288,S08000017,S37000006,Female,1845,75,208,200,462,554,196,106,44,,,
20220401,18288,S08000017,S37000006,All,3757,164,426,422,923,1163,390,196,73,1,1845,1912
20220401,18305,S08000017,S37000006,Male,4684,244,468,497,1180,1336,502,344,113,,,
20220401,18305,S08000017,S37000006,Female,4811,205,443,475,1122,1392,539,448,187,,,
20220401,18305,S08000017,S37000006,All,9495,449,911,972,2302,2728,1041,792,300,1,4811,4684
20220401,18310,S08000017,S37000006,Male,6520,327,702,659,1738,1763,756,436,139,,,
20220401,18310,S08000017,S37000006,Female,6880,343,729,618,1753,1855,820,534,228,,,
20220401,18310,S08000017,S37000006,All,13400,670,1431,1277,3491,3618,1576,970,367,1,6880,6520
20220401,18324,S08000017,S37000006,Male,2290,113,270,259,515,602,312,173,46,,,
