gp_number,q1_positive,q2_positive,q3_positive
49801,37.84,67.32,48.05
70911,59.26,84.53,54.35
60124,86.92,97.99,91.74
78132,72.42,76.71,63.14
32209,72.98,89.98,71.82
38012,83.19,76.89,80.62
25474,84.13,93.63,82.52
70997,67.09,81.44,64.58
55677,94.9,92.45,91.61
18199,83.62,90.39,86.07
80005,44.75,75.28,41.57
90101,98.7,98.47,97
78171,82.64,85.54,80.23
56523,85.6,91.64,85.83
90134,83.71,91.16,82
18611,91.87,99.29,91.32
70126,84.1,94.55,87.83
55874,84.17,92.7,82.94
43059,63.97,85.16,62.46
71082,74.94,94.75,82.04
20983,66.98,93.78,69.45
70841,72.73,90.91,80.72
62223,67.07,83.8,66.55
10361,85.34,89.89,84.02
18273,82.11,99.23,81.65
16121,71.02,88.58,76.29
13481,62.15,80.6,43.14
70785,73.62,88.65,72.09
14569,60.31,85.9,64.78
80537,76.72,94.31,74.21
25597,63.7,84.43,57.29
60088,84.64,84.44,88.63
80701,56.82,87.34,69.99
80594,65.66,88.11,58.57
32425,56.63,94.48,54.67
16550,85.6,85.16,87.35
61644,61.05,85.95,57.9
31812,99.34,100,99
77271,46.73,84.26,47.12
87146,59.92,63.53,64.39
10445,70.2,94.84,67.69
55412,87.25,97.07,87.67
38027,98.12,100,97.63
70747,82.9,85.84,83.56
80720,68.17,95.14,76.92
55427,66.24,89.35,65.71
55431,76.38,90.95,71.35
80058,53.98,78.34,52.89
87485,49.06,73.27,49.88
80171,55.59,82.92,49.15
84740,98.31,97.28,96.45
11058,66.71,93.3,61.1
11128,63.93,87.34,61.98
84191,84.28,92.16,82.2
21609,48.35,76.4,42.18
80607,76.6,76.36,73.53
11650,77.45,93.41,75.54
16545,59.62,67.08,60.52
10233,72.53,94.82,79.66
63616,43.14,82.52,32.36
43133,71.75,65.79,73.58
87606,75.92,90.2,72.8
10017,85.35,89.53,79.82
40121,86.16,96.23,82.38
84646,75.03,88.35,74.96
46081,60.63,86.09,58.44
40493,65.24,63.47,59.36
13142,74.2,75.26,79.63
80109,75.62,79.06,71.47
87466,66.17,92.57,62.99
87502,58.25,78.69,66.95
60177,62.82,88.75,68.75
78311,48.93,91.35,47.17
52058,60.82,68.66,57.58
52062,86.91,89.76,79.52
16193,82.07,91.03,77.68
61240,60.11,95.26,69.88
43167,85.05,92.63,82.09
71097,56.92,76.3,57.3
80113,88.38,90.19,80.1
84307,70.92,95.95,74.6
20630,64.09,90.56,64.95
49604,59.2,56.54,56.77
40224,74.41,90.47,66.02
70094,88.39,95.04,84.72
52096,76.5,89.42,80
87541,85.84,95.26,88.42
71326,83.8,87.15,75.96
90031,78.44,96.1,75.59
76052,59.31,93.06,53.11
86271,78.75,79,80.15
70521,84.71,89.3,84.39
87521,76.91,95.45,79.81
49765,46.68,71.26,56.61
49411,66.08,90.92,73.29
85225,75.53,74.31,72.86
20184,75.94,88.73,77.35
20606,57.46,91.06,53.01
70234,83.2,90.19,75.19
87560,69.51,79.57,64.66
49638,91.25,87.99,81.86
87555,77.63,82.34,67.6
18396,64.33,92.68,60.17
60213,61.5,86.88,68.45
46305,44.69,74.72,42.08
63301,67.08,95.16,59.43
16160,59.61,86.43,53.6
87108,58.97,72.65,59.91
40582,65.24,89.94,65.31
76103,76.19,81.37,73.97
55145,89.88,96.04,88.45
52293,52.85,79.32,48.27
70930,78.84,86.12,77.32
10835,84.47,88.45,78.19
84350,78.33,87.84,77.52
25084,72.69,87.13,56.47
85047,63.89,84.07,62.6
86341,68.38,85.61,67.25
70588,74.51,94.51,71.23
60092,57.24,91.83,53.93
80062,79.84,96.41,74.2
80414,56.24,79.71,57.84
14037,67.48,89.6,65.33
40027,63.13,79.97,63.22
43044,72.37,78.51,68.14
16211,67.91,87.76,62.77
70982,71.29,57.51,66.48
80400,53.95,92.01,45.98
25031,39.44,77.92,40.29
46560,74.02,98.51,81.52
78306,66.3,84.2,56.04
61659,44.22,81.58,51.09
18339,70.55,95.44,81.67
55003,85.04,74.59,78.04
52024,86.62,95.33,82.63
25544,70.75,95.67,68.13
61131,57.71,70.96,52.22
84805,97.85,100,98.41
46343,82.74,95.31,83
55272,53.56,95.74,79.65
25991,84.09,82.53,81.04
55446,93.98,98.9,96.2
13621,78.28,95.41,77.04
80344,64.22,94.04,59.87
76226,32.88,88.95,42.08
25648,56.96,73.86,51.88
31723,36.57,87.6,39.38
55624,76.2,86.28,77.9
76000,90.15,92.53,89.97
55451,85.2,94.5,82.72
39161,95.72,97.56,93.62
18324,50.55,83.79,48.4
80518,56.3,69.34,50.82
20729,23.05,74.92,24.99
32801,61.14,72.65,58.55
13941,60.89,73.68,55.41
25737,37.91,63.15,34.8
63832,47.32,75.26,52.14
25390,68.31,76.77,63.25
25262,40.19,56.2,39.23
20254,46.03,75.53,51.85
60105,85.99,95.14,83.31
61447,70.65,96.51,72.12
16259,75.59,82.59,69.86
52151,78.32,84.89,67.89
63438,44.99,78.39,46.89
61625,32.44,71.62,30.5
78147,57.26,78.25,62.29
70319,88.82,94.01,74.73
16174,79.85,95.08,69.83
10322,76.47,93.31,72.76
30261,74.9,96.88,76.22
25883,52.85,84.67,53.47
70978,56.1,69.21,66.94
87729,73.44,89.85,75.98
11171,86.83,88.82,88.96
46339,64.54,87.97,70.49
39020,98.53,98.2,98.76
70253,57.67,79.24,60.29
78190,39.34,63.12,38.82
40417,61.88,88.05,66.66
76086,74.8,77.09,71.12
12901,75.06,83.3,75.86
49784,53.87,72.48,40.36
62666,49.8,80.22,48.11
43581,65.08,81.86,59.6
31141,63.53,84.39,63.97
39015,87.48,98.33,94.41
14342,75.02,88.41,75.55
52330,81.54,93.62,79.31
40525,66.06,93.44,68.12
